residence_time_ms,phi,h2_fraction,inlet_temperature_k,pressure_atm,reactor_pressure_atm,outlet_temperature_k,temperature_rise_k,x_ch4,x_h2,x_o2,x_co,x_co2,x_h2o,x_no,ch4_conversion_percent,h2_conversion_percent,status,error_message
1.0,0.7,0.4,1000.0,10.0,9.999999999999998,2395.7530098149073,1395.7530098149073,1.3545064041787698e-05,0.0009161686425218725,0.0573265053458929,0.002243327705638126,0.05566708535582297,0.1506267531526021,0.0009470194419163086,99.9766204180771,97.62795807753795,stable,
2.0,0.7,0.4,1000.0,10.0,9.999999999999979,2398.5027664992363,1398.5027664992363,7.110827976992853e-06,0.0008253854660347642,0.05686404619072337,0.0019364395675216218,0.056002412914660626,0.15089238549864298,0.001612340916796664,99.98772994436021,97.86364000958166,stable,
5.0,0.7,0.4,1000.0,10.0,9.999999999999195,2398.2692775012024,1398.2692775012024,2.9709531508761104e-06,0.0007642307063833849,0.056059978408184566,0.0017309678528038572,0.05622769262148091,0.15109252470678172,0.0030721972499267156,99.99487458121298,98.02235062898052,stable,
10.0,0.7,0.4,1000.0,10.0,9.999999999999478,2396.370853787336,1396.3708537873358,1.5247318641587185e-06,0.0007395333237045675,0.05531259236678282,0.0016504432953953802,0.05631663394402269,0.15119055618227614,0.004530740335112992,99.9973698230477,98.08644698534327,stable,
20.0,0.7,0.4,1000.0,10.0,9.999999999999035,2394.022210634981,1394.022210634981,7.790620982124309e-07,0.0007241985922536647,0.0545751192475059,0.0016022054069874025,0.056370347279323316,0.15126231916940208,0.005998411977343543,99.99865620019888,98.12625092439609,stable,
50.0,0.7,0.4,1000.0,10.0,10.000000000002304,2391.441164736817,1391.441164736817,3.179843046561757e-07,0.0007125901826230235,0.053829405321209264,0.001566902795996566,0.05640996087621916,0.15132399697719712,0.007494591820633731,99.99945154082936,98.15638721071575,stable,
0.001,1.0,0.0,1000.0,10.0,9.999999999999906,1000.0001011587142,0.00010115871418747702,0.09505703413232447,2.6071930551352383e-15,0.1901140683529103,7.764257867275766e-19,4.920635246818926e-22,1.7516389072101824e-13,1.5651398699221255e-27,9.279416124385875e-08,,extinguished,
0.002,1.0,0.0,1000.0,10.0,9.999999987616084,1000.0001006046795,0.00010060467946004792,0.09505703404358497,8.186109269132098e-15,0.19011406826435204,6.2785420336612684e-18,1.1051594970946855e-20,7.272209252037792e-13,-3.4238395168245213e-26,1.861472087583138e-07,,extinguished,
0.005,1.0,0.0,1000.0,10.0,10.000000000000002,2286.1510550737257,1286.1510550737257,0.0016888220734094421,0.01707014405829319,0.03566727759542928,0.04797900124062708,0.04025709609425019,0.15323952707426547,0.0001306500038137886,98.14879581552975,,stable,
0.01,1.0,0.0,1000.0,10.0,9.999999999859236,2384.066216923796,1384.0662169237962,0.0006934134265146201,0.014780420970192307,0.026723806090985562,0.039935994863861145,0.050454323172430066,0.15849273499597538,0.0002414117182537107,99.24369141973818,,stable,
0.02,1.0,0.0,1000.0,10.0,10.000000000000009,2455.822801529831,1455.822801529831,0.0003546963920580578,0.012933010424210242,0.021811975556059182,0.034491126263884606,0.056933307877346656,0.16260016066794555,0.00037176947335578695,99.61493658391248,,stable,
0.05,1.0,0.0,1000.0,10.0,9.99999999999912,2531.2552204991075,1531.2552204991075,0.00016167088865726983,0.010777324427332145,0.0173620676962442,0.02898873245972311,0.06329226167203136,0.16726837449185847,0.0006183722867174551,99.82542985506834,,stable,
0.1,1.0,0.0,1000.0,10.0,9.99999999999962,2574.6383883381372,1574.6383883381372,9.09857167904772e-05,0.009455411387590075,0.014874890925157438,0.025749708365118824,0.0669682827733222,0.17007794179898802,0.0008980923477024919,99.90207157759328,,stable,
0.2,1.0,0.0,1000.0,10.0,10.000000000000028,2606.1269625018926,1606.1269625018926,5.067164201931196e-05,0.008464402164767992,0.01297250232913237,0.023295916094323018,0.06972716808198968,0.1721739744401818,0.0013060293791878315,99.94559300401362,,stable,
0.5,1.0,0.0,1000.0,10.0,9.999999999999641,2631.2707199964025,1631.2707199964025,2.2620539264309053e-05,0.007648402794012154,0.01119050556028698,0.021219761028289128,0.07204969294133323,0.17393301628704347,0.002117182393395545,99.97576079252352,,stable,
1.0,1.0,0.0,1000.0,10.0,9.999999999999885,2640.779688262757,1640.7796882627572,1.1998705224169974e-05,0.007325272538739591,0.010257306452014307,0.02036727386979185,0.07300408954617668,0.17468100418207846,0.002918483564658843,99.98715351289714,,stable,
2.0,1.0,0.0,1000.0,10.0,9.999999999999917,2645.209474864879,1645.2094748648792,6.261428288425959e-06,0.007163655131871047,0.009587338440390331,0.01992188757404499,0.07350610429920251,0.17510646836610036,0.0037492110941252117,99.99329927255016,,stable,
5.0,1.0,0.0,1000.0,10.0,10.000000000000028,2647.2222289279534,1647.2222289279534,2.5971608480744925e-06,0.007078882659236435,0.009024804748626106,0.01967032916350533,0.07379377554157635,0.1753853298376277,0.004632367846475457,99.99722142829742,,stable,
